0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval,0_qrs_morph0,0_qrs_morph1,0_qrs_morph2,0_qrs_morph3,0_qrs_morph4,1_pre-RR,1_post-RR,1_pPeak,1_tPeak,1_rPeak,1_sPeak,1_qPeak,1_qrs_interval,1_pq_interval,1_qt_interval,1_st_interval,1_qrs_morph0,1_qrs_morph1,1_qrs_morph2,1_qrs_morph3,1_qrs_morph4,type
0.046852816,0.045884579,0.440757494,0.474155357,0.389717427,0.538015381,0.566754243,0.005882353,0.013422819,0.012084592,0.014285714,0.566754243,0.505401735,0.424613345,0.458652844,0.466410548,0.046852816,0.045884579,0.296502784,0.283140535,0.471110369,0.610568959,0.580606334,0.034615385,0.005434783,0.034146341,0.018691589,0.580606334,0.561507784,0.555006304,0.534689371,0.542570059,0
0.140085187,0.139072848,0.438268384,0.44700493,0.510728855,0.363042199,0.543976189,0.341176471,0.087248322,0.277945619,0.157142857,0.543976189,0.488786583,0.417537182,0.481176532,0.581102004,0.140085187,0.139072848,0.27485516,0.379355236,0.356556428,0.561052982,0.48125419,0.007692308,0.076086957,0.06097561,0.042056075,0.48125419,0.444482037,0.432260344,0.405467712,0.447576584,0
0.163748225,0.116367077,0.434130047,0.560995257,0.56873136,0.689415731,0.559949913,0.052941176,0.033557047,0.039274924,0,0.559949913,0.501869083,0.446503784,0.535258288,0.596696577,0.163748225,0.116367077,0.29842121,0.274033403,0.448744118,0.623141889,0.569502791,0.030769231,0.027173913,0.073170732,0.079439252,0.569502791,0.543716632,0.522840282,0.494712977,0.528856802,0
0.101751065,0.108798486,0.463842323,0.627808028,0.636727271,0.746923012,0.561820789,0.158823529,0.140939597,0.141993958,0,0.561820789,0.502353791,0.427055494,0.475974911,0.548426872,0.101751065,0.108798486,0.280992688,0.291508566,0.404025975,0.592064363,0.529869975,0.015384615,0.065217391,0.1,0.11682243,0.529869975,0.501738695,0.483991785,0.4536955,0.491477297,0
0.048272598,0.050141911,0.475536128,0.519077386,0.272583975,0.437812438,0.458665558,0.005882353,0.026845638,0.051359517,0.092857143,0.458665558,0.388528575,0.323160712,0.354085895,0.37081922,0.048272598,0.050141911,0.310398106,0.375916254,0.357621309,0.51708842,0.488742426,0.007692308,0.02173913,0.048780488,0.065420561,0.488742426,0.453301218,0.441071745,0.375727717,0.41883041,0
0.128253668,0.127246925,0.457918619,0.404124996,0.395827268,0.518047541,0.582781604,0.035294118,0.020134228,0.042296073,0.042857143,0.582781604,0.516271038,0.42774622,0.45537231,0.458279821,0.128253668,0.127246925,0.282056606,0.349230246,0.551481472,0.73459672,0.562963684,0.073076923,0.048913043,0.068292683,0,0.562963684,0.543503422,0.547351608,0.554038077,0.627049447,0
0.049692381,0.051087985,0.453114084,0.427318193,0.720390817,0.368605138,0.587776647,0.082352941,0.006711409,0.120845921,0.185714286,0.587776647,0.568731423,0.682303177,0.751667035,0.43501084,0.049692381,0.051087985,0.298510234,0.315817883,0.430009486,0.601051811,0.546998052,0.015384615,0.016304348,0.02195122,0.009345794,0.546998052,0.521911084,0.516564317,0.489530471,0.508703007,0
0.049692381,0.050141911,0.453270663,0.419291554,0.560444137,0.4077355,0.560854915,0.052941176,0.020134228,0.045317221,0.028571429,0.560854915,0.526884812,0.561378963,0.602869057,0.417264455,0.049692381,0.050141911,0.302648587,0.293250657,0.546618588,0.531250489,0.583111199,0.034615385,0.005434783,0.031707317,0.014018692,0.583111199,0.57247956,0.612995775,0.608100406,0.495362587,0
0.042593469,0.04115421,0.45938725,0.323233834,0.593059437,0.441877043,0.556234879,0.070588235,0.033557047,0.051359517,0.007142857,0.556234879,0.507970986,0.446317588,0.666315173,0.559723063,0.042593469,0.04115421,0.283624053,0.377075561,0.449373689,0.4427955,0.570060767,0.019230769,0,0.024390244,0.023364486,0.570060767,0.526640207,0.462009363,0.361116599,0.340412334,0
0.056791292,0.056764428,0.519223512,0.402023386,0.354213644,0.49146102,0.540873291,0.005882353,0.013422819,0.024169184,0.042857143,0.540873291,0.477417412,0.400321341,0.433615143,0.443521986,0.056791292,0.056764428,0.3012658,0.237499411,0.539913779,0.616456902,0.57839891,0.05,0.005434783,0.058536585,0.046728972,0.57839891,0.592516537,0.617729935,0.52554189,0.523893209,0
0.108376716,0.10974456,0.428655694,0.360374839,0.544838987,0.466528208,0.56208651,0.164705882,0.040268456,0.117824773,0.042857143,0.56208651,0.510811649,0.480596654,0.611323947,0.518852283,0.108376716,0.10974456,0.297769213,0.298913914,0.471704069,0.663570091,0.581554078,0.011538462,0.005434783,0.019512195,0.018691589,0.581554078,0.562609029,0.551461258,0.52791255,0.569109037,0
0.041173687,0.032639546,0.444451743,0.396193706,0.448459937,0.520169316,0.580559676,0.117647059,0.006711409,0.066465257,0.014285714,0.580559676,0.52468495,0.44287183,0.484752193,0.52746164,0.041173687,0.032639546,0.298955802,0.193756888,0.67488988,0.566218846,0.575202827,0.038461538,0.010869565,0.031707317,0.004672897,0.575202827,0.617613535,0.74753332,0.708567154,0.535659608,0
0.03691434,0.036896878,0.485891793,0.615693331,0.392311878,0.540209628,0.540244733,0.017647059,0.060402685,0.042296073,0.021428571,0.540244733,0.47673777,0.403009428,0.436385746,0.45514119,0.03691434,0.036896878,0.278652424,0.276009783,0.538040752,0.524464712,0.565399656,0.034615385,0.005434783,0.034146341,0.018691589,0.565399656,0.548855343,0.58399713,0.608277058,0.536195167,0
0.033601514,0.034058657,0.51528655,0.281461329,0.682606346,0.322564706,0.58394677,0.088235294,0.040268456,0.096676737,0.085714286,0.58394677,0.563554498,0.652776148,0.696508063,0.373123511,0.033601514,0.034058657,0.302534447,0.365986147,0.472088007,0.495562267,0.585450487,0.038461538,0,0.034146341,0.018691589,0.585450487,0.569781305,0.560447392,0.51852457,0.446270774,0
0.101277804,0.094607379,0.452208743,0.403030495,0.510815774,0.458509043,0.588148669,0.141176471,0.006711409,0.102719033,0.071428571,0.588148669,0.539577931,0.511434461,0.583159638,0.480229247,0.101277804,0.094607379,0.29047496,0.274722215,0.450922064,0.612611619,0.571433061,0.034615385,0.010869565,0.058536585,0.060747664,0.571433061,0.546517287,0.523532175,0.487205643,0.517840216,0
0.039280644,0.040681173,0.448109654,0.386710094,0.447038721,0.478626962,0.56378588,0.070588235,0.020134228,0.048338369,0.014285714,0.56378588,0.504010644,0.42722215,0.500189622,0.526195847,0.039280644,0.040681173,0.299836027,0.414545753,0.562656779,0.425410912,0.581361003,0.042307692,0.005434783,0.048780488,0.037383178,0.581361003,0.592928762,0.654900241,0.528848023,0.385844651,0
0.129200189,0.133869442,0.487234401,0.314166829,0.788897001,0.385478893,0.583645416,0.217647059,0.134228188,0.190332326,0.05,0.583645416,0.528204552,0.452563792,0.712819667,0.769218439,0.129200189,0.133869442,0.294654412,0.296329802,0.391473296,0.574796544,0.51874478,0.011538462,0.048913043,0.063414634,0.065420561,0.51874478,0.488636131,0.466698198,0.44031863,0.4742069,0
0.187411264,0.181646168,0.447054109,0.617392545,0.622228227,0.734660501,0.571031224,0.058823529,0.073825503,0.060422961,0,0.571031224,0.516269633,0.463017615,0.559642079,0.630189946,0.187411264,0.181646168,0.31026906,0.271605283,0.446235816,0.612982976,0.567279731,0.019230769,0.02173913,0.043902439,0.042056075,0.567279731,0.535313381,0.513267747,0.48056932,0.515813828,0
0.063890204,0.056291391,0.456742447,0.31763279,0.619784633,0.415747592,0.566405723,0.1,0.040268456,0.072507553,0.014285714,0.566405723,0.523385913,0.463245958,0.645053549,0.588643847,0.063890204,0.056291391,0.280432766,0.30958931,0.468196363,0.617916213,0.56294405,0.038461538,0.02173913,0.048780488,0.028037383,0.56294405,0.547753034,0.548344689,0.533004714,0.553526908,0
0.062943682,0.06244087,0.454962864,0.42852321,0.673168909,0.418951282,0.588761512,0.076470588,0.006711409,0.126888218,0.207142857,0.588761512,0.540431909,0.622850828,0.744363341,0.471692993,0.062943682,0.06244087,0.288632493,0.311696064,0.45970995,0.568182603,0.573775766,0.038461538,0.005434783,0.03902439,0.023364486,0.573775766,0.554872683,0.545090001,0.517353068,0.491549337,0
0.166114529,0.151371807,0.452249628,0.563655168,0.56942426,0.690001748,0.575433316,0.052941176,0.040268456,0.042296073,0,0.575433316,0.516062578,0.452082258,0.534320445,0.59419027,0.166114529,0.151371807,0.300791444,0.33962667,0.446195009,0.633104598,0.567243565,0.011538462,0.027173913,0.053658537,0.065420561,0.567243565,0.545754994,0.528964897,0.50466487,0.540282744,0
0.036441079,0.037842952,0.428027824,0.413241505,0.494249983,0.432202936,0.564693873,0.047058824,0,0.027190332,0.014285714,0.564693873,0.508617098,0.501207905,0.570048194,0.457503228,0.036441079,0.037842952,0.286900466,0.290760917,0.454234804,0.648017028,0.571205682,0.003846154,0.010869565,0.009756098,0.004672897,0.571205682,0.55042133,0.538106182,0.514111451,0.552589774,0
0.145764316,0.145695364,0.471102789,0.620267262,0.622092477,0.734545691,0.586761507,0.094117647,0.140939597,0.108761329,0,0.586761507,0.529345029,0.454394238,0.51655562,0.578483448,0.145764316,0.145695364,0.295246317,0.281202461,0.470559052,0.595910942,0.577031104,0.080769231,0.027173913,0.087804878,0.046728972,0.577031104,0.561291881,0.556963312,0.531216477,0.532818246,0
